,energy_per_atom,O_concentration,C-O-H_C-sp1-H:mean_value,ether_concentration,H-O_coordination_number,O_n12_m2,prox_Ixx_ether_area,norm_density_ether_std,sp2-like_n11_m3,max_bond_angle
108,-44.31460697674419,0.1162791,107.19,0.12195122,0.42,0.023,3.847746883,0.037950328,0.006,125.28
109,-44.32230465116279,0.1162791,107.0,0.12195122,0.42,0.023,3.674973877,0.036475811,0.017,124.42
110,-44.32453546511628,0.1162791,107.08,0.12195122,0.42,0.032,5.322840647,0.038981751,0.0,124.39
111,-44.31621860465116,0.1162791,107.07,0.12195122,0.42,0.023,4.748974816,0.037980693,0.009,125.87
112,-44.3157136627907,0.1162791,107.15,0.12195122,0.42,0.032,4.634366065,0.039304258,0.0,124.75
113,-44.330483430232555,0.1162791,107.41,0.12195122,0.42,0.041,3.963684345,0.041015196,0.0,126.78
114,-44.31497325581395,0.1162791,107.16,0.12195122,0.42,0.035,5.846771184,0.040442211,0.0,125.67
115,-44.327,0.1162791,107.38,0.12195122,0.42,0.044,3.690207608,0.041048319,0.0,126.14
116,-44.31844593023256,0.1162791,107.3,0.12195122,0.42,0.015,3.750308816,0.033381171,0.0,124.47
117,-44.330993313953485,0.1162791,107.56,0.12195122,0.42,0.015,4.197194514,0.037580795,0.009,132.67
118,-44.32513837209302,0.1162791,107.2,0.12195122,0.42,0.009,4.066816068,0.036826038,0.0,125.4
119,-44.33115,0.1162791,107.21,0.12195122,0.42,0.032,3.307757336,0.038655433,0.023,124.96
120,-44.31335319767442,0.1162791,107.21,0.12195122,0.42,0.006,5.211443846,0.036383932,0.0,129.13
121,-44.323527325581395,0.1162791,107.26,0.12195122,0.42,0.02,4.100150492,0.034190609,0.003,132.67
122,-44.32529767441861,0.1162791,107.23,0.12195122,0.42,0.012,4.299554625,0.032530682,0.0,127.02
123,-44.32415668604651,0.1162791,107.05,0.12195122,0.42,0.026,2.35710907,0.038839509,0.0,131.94
124,-44.34672441860465,0.1162791,107.11,0.12195122,0.42,0.017,2.493533567,0.037205716,0.012,132.45
125,-44.33558604651163,0.1162791,107.44,0.12195122,0.42,0.015,5.108442419,0.035012695,0.0,127.94
126,-44.312431686046516,0.1162791,107.1,0.12195122,0.42,0.023,1.730750414,0.038733003,0.003,125.35
127,-44.326856395348834,0.1162791,107.14,0.12195122,0.42,0.026,3.012179312,0.041629927,0.003,132.36
128,-44.34160465116279,0.1162791,107.45,0.12195122,0.42,0.035,2.739292319,0.03966856,0.0,123.93
129,-44.32663953488372,0.1162791,107.01,0.12195122,0.42,0.017,3.860660985,0.034149616,0.006,125.56
130,-44.32351308139535,0.1162791,107.14,0.12195122,0.42,0.023,7.438328425,0.040313499,0.0,125.74
131,-44.32484069767442,0.1162791,107.12,0.12195122,0.42,0.047,2.819556633,0.042326131,0.023,125.21
132,-44.340482848837205,0.1162791,107.13,0.12195122,0.42,0.035,3.933731702,0.037505793,0.003,125.59
133,-44.32290639534884,0.1162791,107.39,0.12195122,0.42,0.012,3.107461215,0.035004429,0.006,131.85
134,-44.31638372093023,0.1162791,106.92,0.12195122,0.42,0.038,3.336172583,0.039505929,0.009,132.28
135,-44.313633720930234,0.1162791,107.24,0.12195122,0.42,0.026,4.784471784,0.043466178,0.0,127.17
136,-44.32497994186047,0.1162791,107.4,0.12195122,0.42,0.02,3.23752519,0.033609171,0.006,124.93
137,-44.318080813953486,0.1162791,107.49,0.12195122,0.42,0.038,4.820063414,0.03970362,0.006,125.3
138,-44.340818023255814,0.1162791,107.46,0.12195122,0.42,0.084,3.824521616,0.052883301,0.026,124.08
139,-44.33653924418605,0.1162791,107.24,0.12195122,0.42,0.02,3.563074873,0.035414007,0.017,124.83
140,-44.3148159883721,0.1162791,107.19,0.12195122,0.42,0.061,3.058096218,0.045960332,0.0,126.66
141,-44.33405988372093,0.1162791,107.32,0.12195122,0.42,0.035,5.376811531,0.040677408,0.0,123.98
142,-44.327496511627906,0.1162791,107.16,0.12195122,0.42,0.012,3.41084557,0.034860753,0.0,129.83
143,-44.34512093023256,0.1162791,107.27,0.12195122,0.42,0.032,4.003980345,0.042740738,0.006,129.75
144,-44.33088808139535,0.1162791,107.39,0.12195122,0.42,0.009,2.528754462,0.035433931,0.003,124.29
145,-44.32812906976744,0.1162791,107.35,0.12195122,0.42,0.038,2.067556926,0.040429112,0.009,129.61
146,-44.331739244186046,0.1162791,107.4,0.12195122,0.42,0.067,5.934303949,0.047768386,0.017,126.77
147,-44.336703779069765,0.1162791,107.09,0.12195122,0.42,0.023,4.135740732,0.037520551,0.012,123.68
148,-44.33197034883721,0.1162791,107.53,0.12195122,0.42,0.02,3.288473967,0.035594596,0.006,126.27
149,-44.304651453488376,0.1162791,107.1,0.12195122,0.42,0.012,2.68834763,0.03454513,0.0,135.66
150,-44.319975,0.1162791,107.53,0.111111111,0.42,0.032,4.628431269,0.036370725,0.0,126.08
151,-44.33602005813953,0.1162791,107.12,0.12195122,0.42,0.015,2.540402871,0.037108499,0.009,131.5
152,-44.325566860465116,0.1162791,107.33,0.12195122,0.42,0.029,1.162686916,0.039145937,0.0,132.2
